inventory_code,prodcat_code,last_cost,stock_ind,unnamed:_5
1256COL700/48,100,100,Yes,0.0
1257COL884,2,122,Yes,0.0
1262COL700,2,122,Yes,0.0
1262COL722,2,143,Yes,0.0
1263COL722,2,100,Yes,0.0
1263COL958,2,100,Yes,0.0
1264COL722,2,143,Yes,0.0
1264COL958,2,143,Yes,0.0
1265COL700,2,143,Yes,0.0
1266COLZ83,2,100,Yes,0.0
1266COLZ86,2,100,Yes,0.0
1266COLZ88,2,100,Yes,0.0
1267COLU28,2,100,Yes,0.0
1267COLZ83,2,100,Yes,0.0
1268COLU28,2,100,Yes,0.0
1268COLZ83,2,100,Yes,0.0
127 COL 881,98,100,Yes,0.0
127 COL 9967,98,100,Yes,0.0
1270COL700/51,96,114,Yes,0.0
1272COLV19/48,96,114,Yes,0.0
1280COLV87,2,100,Yes,0.0
1280COLZ42,2,100,Yes,0.0
1280COLZ88,2,153,Yes,0.0
1281COLU28,2,100,Yes,0.0
1281COLV87,2,100,Yes,0.0
1281COLZ88,2,100,Yes,0.0
1284COLU20,2,100,Yes,0.0
1284COLV88,2,100,Yes,0.0
1284COLZ77,2,100,Yes,0.0
1285COLV88,2,100,Yes,0.0
1285COLV94,2,100,Yes,0.0
1286MCOL200,2,122,Yes,0.0
1286MCOL700,2,122,Yes,0.0
1286MCOL705S,2,122,Yes,0.0
1286MCOL958,2,122,Yes,0.0
1287MCOL200,2,122,Yes,0.0
1287MCOL568,100,122,Yes,0.0
1287MCOL700,2,122,Yes,0.0
1287MCOL710,2,122,Yes,0.0
1287MCOL955,2,122,Yes,0.0
1287MCOLV07S,2,122,Yes,0.0
1291MCOL885,2,100,Yes,0.0
1292MCOL700,43,100,Yes,0.0
1292MCOL722,2,100,Yes,0.0
1293COL700,2,100,Yes,0.0
1293COL722,2,100,Yes,0.0
1293COLV67,2,100,Yes,0.0
1294COL700,43,133,Yes,0.0
1294COL703,43,133,Yes,0.0
1294COL703Y,43,143,Yes,0.0
1294COL722,43,133,Yes,0.0
1294COLV67,2,133,Yes,0.0
1295COL700,2,100,Yes,0.0
1295COL722,2,100,Yes,0.0
1295COLV67,2,100,Yes,0.0
1296COL700,2,112,Yes,0.0
1296COL739,2,112,Yes,0.0
1296COL824,2,112,Yes,0.0
1297COL703,2,133,Yes,0.0
1297COL963,2,102,Yes,0.0
1297COLZ42X,2,133,Yes,0.0
1297COLZ42Y,2,133,Yes,0.0
1299COL700,2,133,Yes,0.0
1299COL955,2,133,Yes,0.0
1299COL958,2,133,Yes,0.0
1300COL700,2,112,Yes,0.0
1300COL958,2,112,Yes,0.0
1313COL700,2,100,Yes,0.0
1313COL722,2,100,Yes,0.0
1314COL700,2,100,Yes,0.0
1319COLT80,43,112,Yes,0.0
1319COLU28,43,112,Yes,0.0
1319COLV87,43,112,Yes,0.0
1320MCOLT35/47,96,119,Yes,0.0
1321MCOL700/50,96,119,Yes,0.0
1322MCOLT35/49,96,119,Yes,0.0
1326MCOL700,96,146,Yes,0.0
1326MCOL700X,26,153,Yes,0.0
1326MCOL722,26,153,Yes,0.0
1329MCOLT35/50,96,119,Yes,0.0
1330MCOLT34/50,96,119,Yes,0.0
1332COL824,26,112,Yes,0.0
1332COLT19,26,112,Yes,0.0
1332COLU28,26,112,Yes,0.0
1332COLZ42,26,102,Yes,0.0
1333COLT17,2,112,Yes,0.0
1333COLT80,2,112,Yes,0.0
1333COLU28,2,112,Yes,0.0
1334COL824,32,112,Yes,0.0
1338COL700/45,96,114,Yes,0.0
1338COLT53/45,96,114,Yes,0.0
1338COLT71/45,96,114,Yes,0.0
1339COL700/45,96,114,Yes,0.0
1339COL700/47,96,114,Yes,0.0
1339COLT53/45,96,114,Yes,0.0
1341MCOL700,2,151,Yes,0.0
1341MCOLT95,2,190,Yes,0.0
1341MCOLV85,2,190,Yes,0.0
1343MCOL700,2,166,Yes,0.0
1344MCOL700,43,154,Yes,0.0
1344MCOLT95,2,190,Yes,0.0
1347MCOL700,26,143,Yes,0.0
1347MCOLV85,26,143,Yes,0.0
1350COL760S,26,190,Yes,0.0
1350MCOL608,26,190,Yes,0.0
1350MCOL700,26,190,Yes,0.0
1350MCOL703,26,190,Yes,0.0
1350MCOL880,26,190,Yes,0.0
1352COLB01,26,233,Yes,0.0
1352COLB02,96,154,Yes,0.0
1352COLB81,96,141,Yes,0.0
1352COLB82,96,154,Yes,0.0
1352COLB83,96,203,Yes,0.0
1352COLJ96,26,233,Yes,0.0
1353COL700,26,203,Yes,0.0
1353COL704,26,203,Yes,0.0
1354COL700,26,153,Yes,0.0
1354COL704,26,153,Yes,0.0
1354COL958,26,153,Yes,0.0
1354COLV67,26,153,Yes,0.0
1355COLT02,43,100,Yes,0.0
1355COLV87,43,100,Yes,0.0
1355COLW74,43,100,Yes,0.0
1355COLW83,43,100,Yes,0.0
1355COLW85,43,100,Yes,0.0
1356COLU28,2,100,Yes,0.0
1356COLW74,43,100,Yes,0.0
1356COLW75,43,100,Yes,0.0
1356COLW84,43,100,Yes,0.0
1357COLT17,26,143,Yes,0.0
1357COLZ42Y,26,143,Yes,0.0
1358COL880,26,203,Yes,0.0
1358COLT17,26,203,Yes,0.0
1358COLW88,26,0,Yes,0.0
1358COLZ42,26,123,Yes,0.0
1358COLZ42Y,26,203,Yes,0.0
1359COLW88,96,100,Yes,0.0
1366COL700,43,100,Yes,0.0
1369COL880,26,100,Yes,0.0
1369COLT17,26,100,Yes,0.0
1369COLU28,26,132,Yes,0.0
1369COLU28Y,26,100,Yes,0.0
1369COLW04,26,100,Yes,0.0
1369COLW74,26,100,Yes,0.0
1369COLW83,26,100,Yes,0.0
1369COLW88,26,100,Yes,0.0
1370COL700/48,96,154,Yes,0.0
1370COL722/50,96,136,Yes,0.0
1370COLJ37/48,96,135,Yes,0.0
1370COLJ38/48,96,135,Yes,0.0
1371COL722/50,96,154,Yes,0.0
1372COL700/50,96,154,Yes,0.0
1372COL722/50,96,154,Yes,0.0
1372COLJ37/50,96,136,Yes,0.0
1372COLJ38/50,96,136,Yes,0.0
1372COLJ39/50,96,135,Yes,0.0
1372COLJ40/50,96,135,Yes,0.0
1373COL703/51,96,147,Yes,0.0
1373COL722S/51,96,147,Yes,0.0
1373COLJ41/49,96,129,Yes,0.0
1373COLJ42S/49,96,129,Yes,0.0
1373COLJ43S/49,96,129,Yes,0.0
1373COLV90/51,96,129,Yes,0.0
1374COL703/49,96,129,Yes,0.0
1374COL722S/51,96,147,Yes,0.0
1374COLJ41/51,96,129,Yes,0.0
1374COLJ43S/51,96,129,Yes,0.0
1374COLV90/49,96,129,Yes,0.0
1375COL703/49,96,129,Yes,0.0
1375COL722S/51,96,147,Yes,0.0
1375COLJ41/49,96,129,Yes,0.0
1375COLJ42S/49,96,129,Yes,0.0
1375COLJ43S/49,96,129,Yes,0.0
1375COLV90/49,96,129,Yes,0.0
1376COL703/51,96,147,Yes,0.0
1376COL722S/53,96,129,Yes,0.0
1376COLJ44/51,96,129,Yes,0.0
1377COL703/51,96,129,Yes,0.0
1377COL722S/51,96,129,Yes,0.0
1377COLV90/51,96,129,Yes,0.0
1378COL703/53,96,160,Yes,0.0
1378COL722S/53,96,160,Yes,0.0
1378COL843/53,96,141,Yes,0.0
1378COLJ44/53,96,141,Yes,0.0
1378COLV90/53,96,141,Yes,0.0
1378COLW09/53,96,141,Yes,0.0
1379COL703/51,96,160,Yes,0.0
1379COL722S/51,96,160,Yes,0.0
1379COL843/51,96,141,Yes,0.0
1379COLJ44/51,95,141,Yes,0.0
1379COLV90/51,96,141,Yes,0.0
1379COLW09/51,96,141,Yes,0.0
137COL703,100,102,Yes,0.0
1381COL703,26,190,Yes,0.0
1381COL722S,26,165,Yes,0.0
1382COLB29,26,231,Yes,0.0
1382COLB31,26,231,Yes,0.0
1382COLB32,26,231,Yes,0.0
1382COLB33,26,231,Yes,0.0
1383COL722,26,231,Yes,0.0
1384COLB01,26,141,Yes,0.0
1384COLB03,96,141,Yes,0.0
1384COLJ98,26,141,Yes,0.0
1384COLU28,26,141,Yes,0.0
1385COLB01,26,213,Yes,0.0
1385COLB02,26,213,Yes,0.0
1385COLB03,26,213,Yes,0.0
1385COLJ96,26,164,Yes,0.0
1385COLJ98,26,213,Yes,0.0
1385COLU28,26,213,Yes,0.0
1386COL722,96,199,Yes,0.0
1386COLB92,26,172,Yes,0.0
1387COL700,26,260,Yes,0.0
1387COLB28,26,199,Yes,0.0
1389COL703,26,181,Yes,0.0
1389COL731S,26,181,Yes,0.0
1389COL732S,26,181,Yes,0.0
1389COL736S,26,181,Yes,0.0
1389COLJ42S,26,181,Yes,0.0
138COL703,100,122,Yes,0.0
1390COLT17,27,132,Yes,0.0
1390COLZ42,27,132,Yes,0.0
1390COLZ84,27,160,Yes,0.0
1391MCOL991,27,132,Yes,0.0
1391MCOLU08,27,132,Yes,0.0
1391MCOLU91,27,132,Yes,0.0
1391MCOLZ42,27,132,Yes,0.0
1399COLD47/50,1,254,Yes,0.0
1399COLD48/50,1,254,Yes,0.0
1399COLZ69/50,1,254,Yes,0.0
1400COLD45/52,1,254,Yes,0.0
1400COLD47/52,1,254,Yes,0.0
1400COLZ69/52,1,254,Yes,0.0
1401COLD47/52,1,254,Yes,0.0
1401COLZ69/52,1,254,Yes,0.0
1402COLD47/52,1,254,Yes,0.0
1402COLD50/52,1,254,Yes,0.0
1402COLZ42/52,1,254,Yes,0.0
1402COLZ69/52,1,254,Yes,0.0
1403COLD46/50,1,254,Yes,0.0
1403COLD47/50,1,254,Yes,0.0
1403COLZ69/50,1,254,Yes,0.0
1417COL700/51,36,222,Yes,0.0
1417COLG34/51,36,222,Yes,0.0
1418COLD66,36,116,Yes,0.0
1418COLG36,36,116,Yes,0.0
1425COLG84,27,266,Yes,0.0
1425COLM08,27,243,Yes,0.0
1436COLD54,2,234,Yes,0.0
1436COLG51,27,185,Yes,0.0
1436COLG88,27,234,Yes,0.0
1436COLZ42,27,185,Yes,0.0
1437COLW04K,27,199,Yes,0.0
1440COL700,36,125,Yes,0.0
1442COLM83,54,204,Yes,0.0
1442COLU28,54,204,Yes,0.0
1442COLZ42,54,204,Yes,0.0
1448COLG88,54,200,Yes,0.0
1448COLU28,54,200,Yes,0.0
1448COLZ42,54,200,Yes,0.0
1450COL700,54,133,Yes,0.0
1450COL703,54,267,Yes,0.0
1451COL880,54,200,Yes,0.0
1451COLU28,54,200,Yes,0.0
1451COLZ07,54,200,Yes,0.0
154COL703,8,112,Yes,0.0
154COL888,8,112,Yes,0.0
155COL703,100,112,Yes,0.0
155COL901,100,112,Yes,0.0
157COL710,100,112,Yes,0.0
157COL753,100,112,Yes,0.0
162COL700,8,100,Yes,0.0
162COLZ07,100,100,Yes,0.0
168COLZ51,8,100,Yes,0.0
168COLZ52,8,100,Yes,0.0
168COLZ92,100,100,Yes,0.0
169COLZ49,100,102,Yes,0.0
169COLZ50,8,102,Yes,0.0
169COLZ53,100,102,Yes,0.0
170COL700,45,102,Yes,0.0
170COL958,8,102,Yes,0.0
170COLU84,100,102,Yes,0.0
172COLV12/48,98,104,Yes,0.0
1737COLW04K,27,0,Yes,0.0
173COL889/48,7,104,Yes,0.0
174COL700/47,7,104,Yes,0.0
182MCOL705,8,112,Yes,0.0
182MCOL722,100,112,Yes,0.0
183MCOL700,8,112,Yes,0.0
184MCOL710,8,112,Yes,0.0
184MCOLT24,8,112,Yes,0.0
185MCOLT24,8,112,Yes,0.0
186MCOL700,8,143,Yes,0.0
186MCOLT30,8,143,Yes,0.0
187MCOL954,8,143,Yes,0.0
187MCOL955,8,143,Yes,0.0
188COL700,45,89,Yes,0.0
188COL703,8,100,Yes,0.0
188COL703Y,45,100,Yes,0.0
188COL824,45,139,Yes,0.0
188COLJ08,8,100,Yes,0.0
188COLJ11,8,0,Yes,0.0
188COLJ12,8,0,Yes,0.0
188COLT49,100,100,Yes,0.0
188COLT52,45,139,Yes,0.0
190COL024,100,100,Yes,0.0
190COL700,45,132,Yes,0.0
190COL703,100,159,Yes,0.0
190COL824,45,159,Yes,0.0
190COLJ08,98,132,Yes,0.0
190COLJ11,98,132,Yes,0.0
190COLJ12,98,132,Yes,0.0
190COLU43,100,100,Yes,0.0
194COLV67S,8,143,Yes,0.0
195COLT69,98,132,Yes,0.0
195COLZ42,45,132,Yes,0.0
196COLJ08S,98,132,Yes,0.0
196COLJ11S,98,132,Yes,0.0
196COLJ12S,98,132,Yes,0.0
196COLT69,45,159,Yes,0.0
196COLT85,45,112,Yes,0.0
196COLW50,45,112,Yes,0.0
196COLW51,8,112,Yes,0.0
196COLW52,45,112,Yes,0.0
196COLZ42,45,112,Yes,0.0
197COLT69,45,112,Yes,0.0
197COLZ42,45,112,Yes,0.0
198MCOLT43/47,98,114,Yes,0.0
198MCOLT44/47,98,114,Yes,0.0
2038 COL 030,100,143,Yes,0.0
2039 COL 030,100,143,Yes,0.0
2054COL030/5617,1,114,Yes,0.0
206COL207/052,1,114,Yes,0.0
2079COL130/5219,96,100,Yes,0.0
208COL824,45,89,Yes,0.0
208COLZ42,97,132,Yes,0.0
2094COL250,2,143,Yes,0.0
209COL220/058,100,114,Yes,0.0
209COL700,8,112,Yes,0.0
209COLV07,45,112,Yes,0.0
210COL704,8,112,Yes,0.0
210COLT89,8,112,Yes,0.0
2114COL030/48,100,114,Yes,0.0
2118COL030/54,100,114,Yes,0.0
211COL220/058,1,114,Yes,0.0
212COLT95,8,112,Yes,0.0
212COLT96,8,112,Yes,0.0
2136COL030,100,153,Yes,0.0
2136COL055,2,153,Yes,0.0
2136COL303,100,153,Yes,0.0
2136COL426,100,153,Yes,0.0
2137 COL 030,2,166,Yes,0.0
2137 COL 5103,100,166,Yes,0.0
2144 COL 303,100,166,Yes,0.0
2144COL055,100,166,Yes,0.0
2144COL070,100,166,Yes,0.0
2144COOL030,100,166,Yes,0.0
2145 COL 030,100,166,Yes,0.0
2150COLPO/48,1,100,Yes,0.0
2154COLL20/053,100,114,Yes,0.0
2156COLL40/53,100,114,Yes,0.0
2168COLD49/5020,100,100,Yes,0.0
2168COLL29/5020,100,100,Yes,0.0
2168COLP60/5020,1,100,Yes,0.0
2168COLP61/5020,100,100,Yes,0.0
2170COLD49/4720,100,100,Yes,0.0
2170COLL29/4720,1,100,Yes,0.0
2170COLP60/4720,96,100,Yes,0.0
2177 COL A01,100,166,Yes,0.0
2177 COL A20,100,166,Yes,0.0
2177COLA00,2,166,Yes,0.0
2177COLA20,100,166,Yes,0.0
2178COLA00,2,100,Yes,0.0
2178COLA01,100,166,Yes,0.0
2178COLA20,100,166,Yes,0.0
217MCOLT35/45,7,114,Yes,0.0
217MCOLT77/45,7,114,Yes,0.0
2180COL129,100,166,Yes,0.0
2182 COL 5102,2,181,Yes,0.0
2182 COL 5103,100,181,Yes,0.0
2182COL102,2,181,Yes,0.0
2182COL103,100,181,Yes,0.0
2182COL129,2,181,Yes,0.0
2182COL540,100,181,Yes,0.0
2184 COL 603,100,166,Yes,0.0
2192 COL 004,2,102,Yes,0.0
2192COL002,100,102,Yes,0.0
2192COL007,2,102,Yes,0.0
2192COL531,100,102,Yes,0.0
2192COL5531,100,102,Yes,0.0
2192COL5579,2,102,Yes,0.0
2192COL579,100,102,Yes,0.0
2192COL9579,100,102,Yes,0.0
2193 COL 004,100,102,Yes,0.0
2193COL5579,2,102,Yes,0.0
2193COL9579,2,102,Yes,0.0
2195 COL 008,100,102,Yes,0.0
2195COL004,100,102,Yes,0.0
2195COL008,100,102,Yes,0.0
2197COL002,2,100,Yes,0.0
219COL700,8,133,Yes,0.0
219COL704,8,133,Yes,0.0
219COL783,8,133,Yes,0.0
219COLT75,45,133,Yes,0.0
2202COL336/52,96,114,Yes,0.0
2203COL423/047,96,100,Yes,0.0
2204COL576/48,100,114,Yes,0.0
2205COL336/047,95,114,Yes,0.0
2207A COL 5100,1,100,Yes,0.0
2207A COL100,1,100,Yes,0.0
2207COL220/051,1,114,Yes,0.0
2208A COL 100,1,100,Yes,0.0
2208A COL 5100,1,100,Yes,0.0
2208COL220/047,100,114,Yes,0.0
2208COL220/49,1,114,Yes,0.0
2209 COL 220,100,114,Yes,0.0
2209A COL 100,100,100,Yes,0.0
2209A COL 5100,1,100,Yes,0.0
2209COL400/49,100,114,Yes,0.0
2209COL576/049,1,114,Yes,0.0
2214COL203/044,1,100,Yes,0.0
2214COL635/46,100,100,Yes,0.0
2215COL567/049,1,100,Yes,0.0
2215COL581/,1,100,Yes,0.0
2218COL630/048,100,100,Yes,0.0
2219COL423/48,100,100,Yes,0.0
2221COL102,100,181,Yes,0.0
2221COL120,100,181,Yes,0.0
2221COL129,2,181,Yes,0.0
2221COL576,2,181,Yes,0.0
2222COL102,2,181,Yes,0.0
2222COL120,2,181,Yes,0.0
2222COL129,100,181,Yes,0.0
2222COL5591,2,181,Yes,0.0
2222COL576,2,181,Yes,0.0
2223COL102,100,166,Yes,0.0
2225COL103,100,153,Yes,0.0
2225COL120,100,153,Yes,0.0
2225COL9507,100,153,Yes,0.0
222COL700,8,191,Yes,0.0
222COL704,45,128,Yes,0.0
222COL958,45,128,Yes,0.0
222COLW61,45,128,Yes,0.0
2230COL103,2,102,Yes,0.0
2231 COL 103,100,153,Yes,0.0
2232COL120,2,153,Yes,0.0
2235COL102,100,181,Yes,0.0
2235COL103,2,181,Yes,0.0
2235COL120,100,181,Yes,0.0
2235COL541,2,181,Yes,0.0
2236COL103,100,166,Yes,0.0
2236COL120,100,166,Yes,0.0
2236COL129,100,166,Yes,0.0
2236COL5591,100,166,Yes,0.0
2240COL120,100,102,Yes,0.0
2240COL5105,2,102,Yes,0.0
2241COL159,100,102,Yes,0.0
2241COL5105,2,102,Yes,0.0
2242COL5105,100,102,Yes,0.0
2242COL541,100,102,Yes,0.0
2244COL541,2,153,Yes,0.0
2245COL102,100,166,Yes,0.0
2245COL103,2,166,Yes,0.0
2245COL120,2,166,Yes,0.0
2246COL5540,2,143,Yes,0.0
2247COL103,2,193,Yes,0.0
224COL700,45,117,Yes,0.0
224COL703,45,117,Yes,0.0
224COL704,45,117,Yes,0.0
224COL958,45,132,Yes,0.0
224COLW61,45,132,Yes,0.0
2250 COL 5103,2,181,Yes,0.0
2250 COL 541,100,181,Yes,0.0
2250COL103,2,181,Yes,0.0
2250COL120,2,181,Yes,0.0
2251COL103,2,181,Yes,0.0
2251COL5103,2,181,Yes,0.0
2251COL541,100,181,Yes,0.0
2251COL5540,100,181,Yes,0.0
2252COL103,2,181,Yes,0.0
2252COL120,100,181,Yes,0.0
2253 COL 9507,100,166,Yes,0.0
2253COL5105,100,166,Yes,0.0
2254COL5591,2,102,Yes,0.0
2255COL5540,2,102,Yes,0.0
2257COL103,2,181,Yes,0.0
2258COL541,100,181,Yes,0.0
2260COL101,100,181,Yes,0.0
2260COL120,2,181,Yes,0.0
2261COL220/048,96,100,Yes,0.0
2263COL329/051,100,114,Yes,0.0
2263COL576/051,1,114,Yes,0.0
2264COL540/050,1,114,Yes,0.0
2266COL220/050,96,100,Yes,0.0
2266COL508/050,96,100,Yes,0.0
2267COL220/049,1,114,Yes,0.0
2268COL508/052,100,100,Yes,0.0
226COL700,8,122,Yes,0.0
226COLT91,45,122,Yes,0.0
2274COL100,2,112,Yes,0.0
2274COL120,2,112,Yes,0.0
2274COL5100,100,112,Yes,0.0
2274COL5550,100,112,Yes,0.0
2274COL579,2,112,Yes,0.0
2274COL9579,100,112,Yes,0.0
2275 COL 100,2,112,Yes,0.0
2275 COL 120,100,112,Yes,0.0
2275 COL 579,2,112,Yes,0.0
2276 COL 5100,100,112,Yes,0.0
2276 COL 535,100,112,Yes,0.0
2276 COL 5550,96,112,Yes,0.0
2277 COL 5100,100,112,Yes,0.0
2277 COL 9579,100,112,Yes,0.0
2277COL100,2,112,Yes,0.0
2277COL579,2,112,Yes,0.0
2278 COL 5591,100,153,Yes,0.0
2278COL120,100,153,Yes,0.0
2278COL200,100,153,Yes,0.0
2279 COL 120,100,153,Yes,0.0
2279 COL 200,2,153,Yes,0.0
2279 COL 9507,100,153,Yes,0.0
2280 COL 5591,100,153,Yes,0.0
2280 COL 9507,2,153,Yes,0.0
2280COL200,2,153,Yes,0.0
2281 COL 200,100,181,Yes,0.0
2281COL101,100,181,Yes,0.0
2281COL120,2,181,Yes,0.0
2281COL200,2,181,Yes,0.0
2281COL579,100,181,Yes,0.0
2283 COL 220,100,153,Yes,0.0
2283 COL 5535,100,153,Yes,0.0
2283 COL 9579,100,153,Yes,0.0
2283COL220,100,153,Yes,0.0
2284 COL 9579,100,181,Yes,0.0
2284COL201,2,181,Yes,0.0
2284COL220,2,181,Yes,0.0
2285 COL 9579,100,122,Yes,0.0
2285COL200,2,122,Yes,0.0
2285COL201,100,122,Yes,0.0
2285COL220,2,122,Yes,0.0
2286COL120,100,166,Yes,0.0
2287 COL 201,2,122,Yes,0.0
2287 COL 220,2,122,Yes,0.0
2287 COL 541,2,122,Yes,0.0
2287 COL 9507,2,122,Yes,0.0
2287 COL 9591,2,122,Yes,0.0
2287COL200,2,122,Yes,0.0
2288 COL 201,100,122,Yes,0.0
2288 COL 220,2,122,Yes,0.0
2288 COL 541,2,122,Yes,0.0
2288 COL 9507,2,122,Yes,0.0
2288 COL 9591,2,122,Yes,0.0
2299COL101,2,181,Yes,0.0
2299COL120,2,181,Yes,0.0
2299COL200,2,181,Yes,0.0
229COLU28,45,102,Yes,0.0
229COLZ43,45,102,Yes,0.0
