CUSTOMER_NUMBER,PARAMETER,PARAMETER_GROUP
ESHR07,Trading Account,Account Status
ESHRC1,Consignment,Operations
ESHRC2,Consignment,Operations
ESHROC,Consignment,Operations
ESIFC1,Consignment,Operations
ESIFOC,Consignment,Operations
ESP106,Closed,Account Status
ESP112,Trading Account,Account Status
ESP131,Closed,Account Status
ESP148,Trading Account,Account Status
ESP149,Trading Account,Account Status
ESPBEN,Consignment,Operations
ESPBRI,Consignment,Operations
ESPBRM,Consignment,Operations
ESPC07,Closed,Account Status
ESPC08,Closed,Account Status
ESPC24,Closed,Account Status
ESPC27,Closed,Account Status
ESPC32,Closed,Account Status
ESPC37,Closed,Account Status
ESPC60,Closed,Account Status
ESPC68,Trading Account,Account Status
ESPC71,Trading Account,Account Status
ESPC72,Closed,Account Status
ESPC73,Closed,Account Status
ESPC75,Closed,Account Status
ESPC79,Closed,Account Status
ESPC97,Closed,Account Status
ESPCAV,Consignment,Operations
ESPCBO,Consignment,Operations
ESPCBS,Consignment,Operations
ESPCC0,Closed,Account Status
ESPCC1,Closed,Account Status
ESPCC2,Consignment,Operations
ESPCC3,Closed,Account Status
ESPCC4,Consignment,Operations
ESPCC5,Closed,Account Status
ESPCC6,Closed,Account Status
ESPCC7,Closed,Account Status
ESPCC8,Closed,Account Status
ESPCC9,Closed,Account Status
ESPCCA,Closed,Account Status
ESPCCB,Consignment,Operations
ESPCCC,Consignment,Operations
ESPCCE,Consignment,Operations
ESPCCG,Closed,Account Status
ESPCCI,Consignment,Operations
ESPCCK,Consignment,Operations
ESPCCL,Consignment,Operations
ESPCCO,Closed,Account Status
ESPCCR,Consignment,Operations
ESPCCS,Consignment,Operations
