CUSTOMER_NUMBER,PARAMETER,PARAMETER_GROUP
NSUOOC,Closed,Account Status
NSUOPT,Consignment,Operations
NSUS08,Closed,Account Status
NSUSC1,Consignment,Operations
NSUSOC,Closed,Account Status
NSUWR1,Consignment,Operations
NVAA01,Closed,Account Status
NVABC1,Promotion,Marketing
NVABCO,Consignment,Operations
NVABOC,Closed,Account Status
NVAD02,Closed,Account Status
NVAD04,Closed,Account Status
NVAD08,Closed,Account Status
NVAG02,Closed,Account Status
NVAG03,Trading Account,Account Status
NVAG04,Trading Account,Account Status
NVAGC1,Consignment,Operations
NVAGC2,Consignment,Operations
NVAGOC,Closed,Account Status
NVAM01,Closed,Account Status
NVAN01,Trading Account,Account Status
NVAN02,Closed,Account Status
NVAN03,Closed,Account Status
NVANC1,Consignment,Operations
NVANOC,Consignment,Operations
NVAR02,Closed,Account Status
NVAR09,Trading Account,Account Status
NVARC1,Closed,Account Status
NVARC2,Consignment,Operations
NVARCO,Consignment,Operations
NVAROC,Closed,Account Status
NVAS01,Closed,Account Status
NVAS04,Closed,Account Status
NVET01,Closed,Account Status
NVET02,Closed,Account Status
NVET03,Closed,Account Status
NVOR01,Closed,Account Status
NWIB01,Closed,Account Status
OAVNC1,Closed,Account Status
OAVNOC,Closed,Account Status
OBCP01,Closed,Account Status
OBHO02,Closed,Account Status
OBHO03,Trading Account,Account Status
OBHOC1,Closed,Account Status
OBHOOC,Consignment,Operations
OBHOPC,Consignment,Operations
OBLC01,Closed,Account Status
OBLCC1,Consignment,Operations
OBLCOC,Closed,Account Status
OBOYOC,Consignment,Operations
OBRW01,Closed,Account Status
OCLI01,Closed,Account Status
OCOK01,Closed,Account Status
OCOK02,Closed,Account Status
OCOK03,Closed,Account Status
OEBN01,Closed,Account Status
OFLRC1,Consignment,Operations
OFLROC,Consignment,Operations
OGLBOC,Consignment,Operations
OGLV01,Closed,Account Status
OGODC1,Consignment,Operations
OGODC2,Consignment,Operations
OGODOC,Consignment,Operations
OIFC01,Trading Account,Account Status
OIFCC1,Consignment,Operations
OIFCOC,Consignment,Operations
OIRNOC,Closed,Account Status
