CUSTOMER_NUMBER,DEPOSIT_REF
LVAJ01,DD03-015
LVAJ01,DD11-002
LVAJ01,DD11-014
LVAL01,DD05-014
LVIL02,DB04-026
LVIL02,DB07-160
LVIL02,DB10-141
LVIL02,DB11-143
LWAV01,DB03-119
LWED01,DB05-196
LWED01,DB09-142
LWEL01,DB10-015
LZIL01,DB05-139
MASA01,DB04-076
MASA01,DB05-078
MASA01,DB09-087
MASA01,DB11-102
MASA01,DD07-008
MFAO01,DB07-086
MFAO01,DB09-032
MFAO01,DB09-055
MGAS01,DB04-016
MGAS01,DB06-022
MGAS01,DD04-001
MGAS01,DD09-007
MGAS01,DD11-006
MGUE01,DB05-142
MLEN01,DD03-013
MLEN01,DD05-012
MLEN01,DD11-012
MLOB02,DB04-124
MLOB02,DB07-087
MMOE01,DB06-159
MMOE01,DB09-184
MMOE01,DB10-071
MMOE01,DB10-157
MOSA01,DB07-082
MOSA01,DD11-011
MOSA02,DB03-115
MOSA02,DB05-158
MOSA02,DD03-016
MRAA02,DB05-022
MRAA02,DB06-051
MRAA02,DB07-095
MRAA02,DB11-072
MRAA02,DD08-014
MRAA03,DB05-046
MRAA03,DB06-138
MRAA03,DB11-120
MRAD01,DD05-014
MRAD01,DD06-009
MRAD01,DD07-007
MRAD01,DD11-002
MRAD01,DD11-014
MRAD02,DB10-094
MRAD02,DB11-142
MRAD02,DD08-001
MRAK01,DB04-062
MRAL02,DD05-006
MRAL02,DD07-003
MRAL02,DD08-008
MRAL04,DB04-105
MRAO03,DB04-068
MRAO03,DD10-003
MRAR02,DB03-218
MRAR02,DB07-071
MRAR02,DB08-177
MRAR02,DB09-122
MRAR02,DD08-011
MSAW01,DB07-008
MSAW01,DD09-005
MSAW01,DD11-004
MSAW02,DB05-057
MSAW02,DD10-005
MSIT02,CJ09A012
MSIT02,DB06-053
MSIT02,DB08-030
MSIT02,DB08-193
MSIT02,DB10-161
MSYO01,DB03-110
MSYO01,DB12-088
MSYO01,DD08-010
MYBT01,DB10-098
NBAK01,DD04-001
NBEJ01,DD05-001
NBEJ01,DD06-002
NBEJ01,DD07-004
NBEM03,DB03-175
NBOO01,DB11-030
NDAI01,DD03-010
NDAI01,DD06-006
NDAI01,DD07-001
NDAI01,IN803527
NGEE01,DD04-005
NGEE01,DD07-003
NGEE01,DD09-003
NGEE02,DB08-041
NGEE02,DD08-004
NGEG01,DB06-154
NGEG01,DB09-017
NGEG01,DB11-160
NINO01,DB08-114
NJEK01,DB03-193
NJIA01,DB05-105
NJIA01,DB09-074
NJIA01,DB10-073
NJIA01,DB11-141
NJIA02,DB03-120
NJIA02,DB08-108
NJIA02,DB09-172
NJIA02,DB11-039
NJIA02,DB11-147
NJOE01,DB04-131
NJOE01,DB08-172
NJOE01,DB10-147
NJOE01,DB11-127
NJOE02,DB08-129
NJOE02,DB09-146
NKEN01,DD03-016
NKEN01,DD03-020
NKEN01,DD03-021
NKEN01,DD05-006
NKEN01,DD09-003
NKEN01,DD10-002
NKEY01,DB04-163
NKEY01,DB05-188
NKEY01,DD03-019
NKEY01,DD09-002
NKOQ01,DD03-012
NKOQ01,DD04-011
NKOQ01,DD05-014
NKOQ01,DD06-009
NKUG01,DB06-144
NKUG01,DB08-104
NLAD01,DB07-177
NLAD01,DD08-008
NLAE01,DB11-148
NLAE01,DD03-014
NLAE01,DD04-001
NLAE01,DD07-012
NLAE01,DD07-015
NLAE01,DD08-015
NLAG02,DB04-158
NLAG02,DB06-055
NLAG02,DB07-052
NLAG02,DB11-016
NLOE01,DB08-117
NMAD01,DB04-109
NMAD01,DB05-103
NMAD01,DB07-129
NMAD01,DB08-119
NMAD01,DB11-052
NMAG01,DB03-163
NMAG01,DB09-136
NMAG02,DB05-023
NMAG02,DB06-020
NMAG02,DB06-122
NMAG02,DB07-161
NMAG02,DD07-003
NMAJ01,DB04-148
NMAN01,DB11-011
NMAO01,DD05-004
NMAO01,DD06-005
NMAO01,DD09-005
NMAO01,DD10-005
NMAO02,DD04-004
NMAO02,DD06-005
NMAO02,DD07-006
NMAO02,DD09-005
NMAO02,DD10-005
NMAO02,DD11-004
NMAS01,DD03-011
NMAS01,DD06-007
NMEL01,DB05-106
NMEL01,DB10-050
NMIG02,DD03-010
NMIG02,DD04-005
NMIG02,DD05-005
NMIG02,DD08-002
NMOE03,DB05-131
NMOE03,DB07-046
NMOE03,DB08-060
NMOE03,DB09-089
NMOE03,DB12-057
NNUA01,DB07-113
NOMI01,DB05-144
NPIN01,DB09-061
NPIN01,DB12-074
NRAC01,DB03-160
NRAD03,DB09-144
NRAD04,DB07-162
NRAD04,DB10-136
NRAK01,DB05-150
NRAK01,DB07-148
NRAK01,DD11-008
NREO02,DB04-055
NREO02,DB05-205
NREO02,DB06-032
NREO02,DB09-036
NREO02,DB11-024
NREO02,Jan-03
NREO03,DB05-146
NSEE01,DB03-162
NSEE01,DB05-194
NSEE01,DB06-156
NSEE01,DB09-021
NSEE01,DB10-129
NSEE02,DB05-024
NSEE02,DB07-007
NSEE02,DD05-019
NSIG01,DD08-016
NSIG01,DD09-013
NSIG01,DD10-007
NSIG02,DB05-097
NSIG02,DB09-076
NSIG02,DB10-114
NSIG02,DB11-113
NSIG02,DD06-006
NSIO01,DD08-010
NSUD01,DB04-185
NSUG03,DB04-006
NSUG03,DB05-004
NSUG03,DB06-011
NSUG03,DB06-184
NSUG03,DB07-039
NSUG03,DB07-200
NSUG03,DB08-206
NSUG03,DB09-186
NSUG03,DB10-170
NSUG10,DB03-051
NSUG12,DB03-108
NSUG12,DB04-135
NSUG12,DD07-003
NSUG12,DD10-004
NSUG16,DD11-007
NSUN03,DD05-018
NSUN03,DD10-002
NSUOO2,DD04-001
NSUOO2,DD05-012
NSUOO2,DD07-004
NSUOO2,DD08-013
NSUS04,DB05-208
NSUS09,DB03-061
NSUS09,DB06-118
NSUS09,DB06-180
NSUS10,DB06-171
NSUS10,DB07-156
NSUS10,DB08-222
NSUS10,DB09-137
NTOG02,DD03-015
NTOG02,DD06-011
NTOG02,DD08-013
NTOG02,DD11-010
NTOK01,DD04-002
NTOK01,DD11-002
NVAB01,DB05-156
NVAB01,DD05-014
NVAB01,DD07-010
NVAD01,DB05-149
NVAD01,DB11-098
NVAD02,DB03-068
NVAD05,DD03-015
NVAD10,DB07-171
NVAD13,DB04-004
NVAD13,DB05-218
NVAD13,DB07-175
NVAD13,DB11-183
NVAG02,DD10-002
NVAG04,DB06-006
NVAG04,DB07-006
NVAG04,DB09-005
NVAG04,DB10-029
NVAG04,DB11-028
NVAN01,DB04-110
NVAN01,DB09-109
NVAN01,DD07-002
NVAR09,DB04-072
NVAR09,DB07-164
NVAR09,DB08-147
NVAR09,DB09-075
NVAR09,DB11-096
NVAS03,DB04-010
NVAS03,DB07-078
NVAS03,DB09-047
NVAS05,DD09-006
NWID01,DD11-009
NWIG01,DD09-017
NWYB01,DB03-098
NYES01,DD03-010
NZAD01,DB05-017
NZAD01,DD07-003
NZAD01,DD08-003
NZAD01,DD09-004
OALN01,DB06-117
OBHO01,DB03-133
OBHO01,DB04-046
OBHO01,DB05-068
OBHO01,DB06-047
OBHO01,DB10-034
OBHO03,DB03-214
OBHO03,DB10-008
OBLC02,DD03-017
OBLC02,DD05-003
OBLC02,DD05-008
OBLC02,DD06-010
OBLC02,DD08-002
OBLC02,DD09-004
OBLC02,DD10-002
OBLC02,DD11-003
OBLC02,DD11-012
OBOY01,DB11-004
OCHN01,DD04-001
OCHT01,DD06-009
OCLI02,DB07-141
OCLI02,DB08-102
OCRS01,DB08-123
OCRS01,DD06-010
OCRS01,DD07-003
OCRU01,DB03-048
OCRU01,DB08-051
OCRU01,DB10-005
OCRU01,DB10-048
ODOK01,DD11-009
ODOL01,DD03-011
ODOL01,DD04-015
ODOL01,DD08-001
ODOL01,DD09-017
ODOL01,DD11-013
OEMN01,DB04-065
OEMN01,DB07-051
OEMN01,DB08-074
OFLR01,DD05-005
OFLR01,DD10-005
OFLR01,DD11-006
OFZP01,DD09-003
OFZP01,DD11-012
OGLV02,DB03-049
OGOD04,DB03-049
OGOD04,DB06-003
OGOD04,DB07-018
OGOD04,DB09-016
OGOD04,DB10-134
OGRB01,DB04-116
OGRB01,DB07-165
OGRB01,DB08-110
OGRB01,DB08-113
OGRB01,DB08-189
OGRB01,DD05-007
OGRL01,DD03-014
OHOS03,DB03-213
OHOS03,DB04-176
OHOS03,DB06-191
OHOS03,DB10-143
OIFC01,DB03-126
OIFC01,DB04-167
OIFC01,DB07-084
OIFC01,DB08-045
OIFC01,DB09-139
OJEN01,DB02-169
OJEN01,DD04-001
OJEN01,DD04-010
OJEN01,DD06-003
OJEN01,DD09-008
OKHT01,DD04-006
OKHT01,DD06-013
OKHT01,DD09-016
OKHZ01,DB03-138
OKHZ01,DB07-016
OKHZ01,DB09-092
OKHZ01,DD05-017
OKHZ01,DD11-006
OKOL01,DB09-111
OMBM01,DD04-003
OMBM01,DD04-014
OMMW01,DB09-070
OMOD01,DB04-122
OMOD01,DB05-172
OMOD01,DB08-046
OMOD01,DB08-164
OMOL02,DD03-016
OMOL02,DD04-015
OMOL02,DD05-016
OMOL02,DD07-010
OMOL02,DD08-009
OMOL02,DD11-001
OMOL02,DD11-011
OMOS01,DB10-044
OMOS01,DD09-007
OMOS02,DD05-014
OMOS02,DD06-009
OMOS02,DD07-008
OMOS02,DD09-013
OMOS02,DD11-001
OMOS03,DD04-006
OMOS03,DD07-007
OMOS03,DD08-008
OMOS03,DD10-010
OMOS05,DD03-019
ONKS01,DD07-012
ONKS01,DD09-018
ONKS01,DD10-006
ONOR01,DB04-137
ONOR01,DB05-168
ONOR01,DB11-005
ONSP01,DB10-069
OPRP01,DB04-183
OPRV01,DB05-145
OPRV01,DB08-211
OPRV02,DB04-007
OPRV02,DB04-059
OPRV02,DB06-162
OPRV02,DB09-168
OROS01,DB03-172
OROS01,DB05-198
OROS01,DB11-058
OROS01,DB11-174
OROS04,DB04-115
OROS06,DB03-069
ORRP01,DB05-034
ORRP01,DB07-142
ORRP01,DB09-173
OSLP01,DB04-067
OSLP01,DB05-138
OSLP01,DB08-063
OSTL01,DB08-169
OSYN01,DD08-013
OTHM02,DB07-077
OVTP01,DB05-211
OVTP01,DB07-195
OVTP01,DB08-214
OVTP01,DB10-169
OWOD01,DB05-215
OWOD01,DD04-002
OWOD01,DD10-009
OWOD02,DB05-127
OWOD02,DB07-124
OYPP01,DD03-014
PDIP01,DB07-012
PDIP01,DD08-001
PDUL01,DB04-073
PESL01,DD04-012
PESL01,DD05-010
PGOA01,DB08-213
PHYE02,DB05-053
PMAU02,DB04-040
PMAU02,DB04-102
PPAP01,DB06-130
PROE01,DB03-107
PSUE02,DB08-148
RABAO1,DB04-120
RAFI01,DB09-108
RAMA01,DD11-006
RBEG01,DB07-069
RBEG01,DB08-111
RBEM01,DB09-156
RBEM02,DB03-139
RBEM02,DB04-161
RBUG01,DB08-215
RBUG02,DB04-013
RBUG02,DB05-159
RBUG02,DB07-091
RBUG02,DB09-098
RBUG02,DB11-056
RBUN01,DD06-005
RBUN01,DD07-003
RBUN01,DD08-003
RCAE01,DB04-075
RCAE01,DB04-113
RCAR01,DB05-147
RCAR01,DB12-073
RCON02,DB04-056
RCON02,DB06-066
RCON02,DB08-138
RCON02,DB11-079
RCON02,DB12-067
RCON05,DB05-007
RCON05,DB08-005
RCON05,DB09-153
RDAR01,DD11-003
RDOE01,DB05-065
RDOE01,DB10-012
RDOF02,DD03-010
RDOF02,DD09-009
RDUB01,DD03-015
RFER02,DB04-104
RFER02,DB12-080
RIBA01,DD03-013
RIBA01,DD06-012
RIBA01,DD11-013
RKAE01,DD03-008
RKAE01,DD04-004
RKAE01,DD04-008
RKAE01,DD04-011
RKAE01,DD05-005
RKAE01,DD05-014
RKAE01,DD06-005
RKAE01,DD06-011
RKAE01,DD07-003
RKAE01,DD07-008
RKAE01,DD07-009
RKAE01,DD08-004
RKAE01,DD08-009
RKEL01,DB05-221
RLEO04,DB04-060
RLEO06,DB09-116
RLEO06,DD11-012
RMAA01,DB03-157
RMAA01,DB04-156
RMAA01,DB11-048
RMAA01,DD07-010
RMAA03,DB03-067
RMAA03,DB08-067
RMAA03,DB11-021
RMAA03,DD05-006
RMAA03,DD05-010
RMAA03,DD07-004
RMAA03,DD09-006
RMAB02,DD05-019
RMAE01,DD07-005
RMAE01,DD09-014
RMAE01,DD10-007
RMAI01,DB06-129
RMAI01,DB08-125
RMAI01,DB09-091
RMAI01,DD03-015
RMAI01,DD04-011
RMAI01,DD05-017
RMAT02,DB03-100
RMAT02,DB11-134
RMEC01,DD11-010
RMOO01,DD03-010
RMOO01,DD05-009
RNOK01,DB03-076
RNOT03,DB11-084
RNOT04,DB07-041
RNOT04,DB08-100
RNOT04,DB10-047
RNOT04,DD04-007
RNUD01,DD04-009
RNUD01,DD08-008
RPAK01,DD03-014
RPAK02,DB07-061
RPAK04,DD04-012
RPAM01,DB03-056
RPAM01,DB04-032
RPAM01,DB08-165
RPAM03,DB03-106
RPAM03,DB08-079
RPAM03,DB11-110
RPAM03,DD06-002
RPAM03,DD06-014
RPES01,DD08-004
RPES01,DD10-001
RPES01,DD11-001
RPES01,DD11-013
RPEU01,DD10-002
RSAD01,DB03-109
RSAD01,DB06-054
RSPI01,DB11-187
RSPI01,DD03-011
RSPI01,DD05-012
RSTA03,DB03-144
RSTA03,DB06-019
RSTA04,DB04-128
RTOG01,DB03-096
RTOG01,DB05-169
RTOG05,DB03-123
RTOG05,DB04-106
RTOG05,DB05-161
RTOG06,DD04-001
RTOG06,DD10-002
RTOG07,DB12-070
RTOG09,DB09-096
RTOG09,DB11-053
RTOG09,DD03-015
RTOG09,DD04-004
RTOG09,DD04-008
RTOG09,DD04-011
RTOG09,DD05-009
RTOG09,DD05-013
RTOG09,DD09-001
RTOG09,DD09-010
RTOG09,DD10-001
RTOG09,DD11-001
RTOG11,DB04-164
RTOG11,DB08-199
RTOG11,DB11-138
RTOG12,DB04-038
RTOG12,DB05-025
RTOG12,DD11-001
RTOG17,DB09-012
RTOG17,DB11-117
RTOG17,DB12-053
RTOG18,DB08-112
RTOG18,DB08-188
RTOG18,DB11-179
RTOG19,DB08-218
RTOG19,DD04-004
RUNO01,DD07-001
RUNO01,DD08-003
RUNO01,DD09-006
RVAI01,DB05-124
RVAI01,DB06-157
RVAI01,DB07-127
RVAI01,DB10-026
RVAI01,DB10-131
RVES01,DD03-016
RVOS02,DB04-019
SABO01,DB05-114
SABO01,DB11-044
SASO03,DB04-045
SASO03,DB05-044
SASO03,DB06-161
SASO03,DB07-149
SASO03,DB09-046
SASO03,DB11-151
SASO03,DB12-062
SBET01,DD04-005
SBIM01,DB08-135
SCAH01,1-Aug
SCAH01,2-Aug
SCAH01,3-Aug
SCAH01,DB06-001
SCAH01,DB06-002
SCAH01,DB06-003
SCAH01,DB06-004
SCAH01,DB06-012
SCAH01,DB06-024
SCAH01,DB06-034
SCAH01,DB06-136
SCAH01,DB06-151
SCAH01,DB06-163
SCAH01,DB06-188
SCAH01,DB07-019
SCAH01,DB07-051
SCAH01,DB07-055
SCAH01,DB07-060
SCAH01,DB07-181
SCAH01,DD06-002
SCAH01,DD06-004
SCAH01,DD06-009
SCAH01,DD07-003
SCAH01,DD08-011
SCAH01,DD10-010
SCAH02,1-Jun
SCAH02,2-Jun
SCAH02,3-Jun
SCAH02,4-Jun
SCAH02,DB03-186
SCAH02,DB03-187
SCAH02,DB04-039
SCAH02,DB04-138
SCAH02,DB04-166
SCAH02,DB05-015
SCAH02,DB05-047
SCAH02,DB05-049
SCAH02,DB05-050
SCAH02,DB05-071
SCAH02,DB05-136
SCAH02,DB05-137
SCAH02,DB05-154
SCAH02,DB05-180
SCAH02,DB05-209
SCAH02,DB06-017
SCAH02,DB06-026
SCAH02,DB06-030
SCAH02,DB06-033
SCAH02,DB06-036
SCAH02,DB06-04
SCAH02,DB06-045
SCAH02,DB06-056
SCAH02,DB06-060
SCAH02,DB06-062
SCAH02,DB06-063
SCAH02,DB06-064
SCAH02,DB06-094
SCAH02,DB06-107
SCAH02,DB06-108
SCAH02,DB06-120
SCAH02,DB06-132
SCAH02,DB06-136
SCAH02,DB06-139
SCAH02,DB06-140
SCAH02,DB06-142
SCAH02,DB06-143
SCAH02,DB06-146
SCAH02,DB06-153
SCAH02,DB06-155
SCAH02,DB06-160
SCAH02,DB06-170
SCAH02,DB06-175
SCAH02,DB06-186
SCAH02,DB07-003
SCAH02,DB07-011
SCAH02,DB07-014
SCAH02,DB07-049
SCAH02,DB07-054
SCAH02,DB07-056
SCAH02,DB07-079
SCAH02,DB07-081
SCAH02,DB07-088
SCAH02,DB07-089
SCAH02,DB07-094
SCAH02,DB07-125
SCAH02,DB07-133
SCAH02,DB07-147
SCAH02,DB07-152
SCAH02,DB07-166
SCAH02,DB08-024
SCAH02,DB08-026
SCAH02,DB08-048
SCAH02,DB08-050
SCAH02,DB08-057
SCAH02,DB08-065
SCAH02,DB08-120
SCAH02,DB08-122
SCAH02,DB08-136
SCAH02,DB08-143
SCAH02,DB08-158
SCAH02,DB08-171
SCAH02,DB08-187
SCAH02,DB08-194
SCAH02,DB08-220
SCAH02,DB08-221
SCAH02,DB08-224
SCAH02,DB09-018
SCAH02,DB09-030
SCAH02,DB09-049
SCAH02,DB09-064
SCAH02,DB09-095
SCAH02,DB09-167
SCAH02,DB09-179
SCAH02,DB10-027
SCAH02,DB10-038
SCAH02,DB10-055
SCAH02,DB10-067
SCAH02,DB10-117
SCAH02,DB10-118
SCAH02,DB10-121
SCAH02,DB10-130
SCAH02,DB10-139
SCAH02,DB11-009
SCAH02,DB11-018
SCAH02,DB11-022
SCAH02,DB11-123
SCAH02,DB11-124
SCAH02,DB11-181
SCAH02,DB12-033
SCAH02,DB12-083
SCAH02,DB12-087
SCAH02,DD03-006
SCAH02,DD03-008
SCAH02,DD03-009
SCAH02,DD03-013
SCAH02,DD03-014
SCAH02,DD03-015
SCAH02,DD03-017
SCAH02,DD03-019
SCAH02,DD03-020
SCAH02,DD04-004
SCAH02,DD04-012
SCAH02,DD05-001
SCAH02,DD05-002
SCAH02,DD05-004
SCAH02,DD05-005
SCAH02,DD05-008
SCAH02,DD05-011
SCAH02,DD05-012
SCAH02,DD05-013
SCAH02,DD05-015
SCAH02,DD05-016
SCAH02,DD05-018
SCAH02,DD05-019
SCAH02,DD06-001
SCAH02,DD06-002
SCAH02,DD06-004
SCAH02,DD06-005
SCAH02,DD06-011
SCAH02,DD06-012
SCAH02,DD06-013
SCAH02,DD06-014
SCAH02,DD07-001
SCAH02,DD07-002
SCAH02,DD07-007
SCAH02,DD07-008
SCAH02,DD07-012
SCAH02,DD08-001
SCAH02,DD08-002
SCAH02,DD08-006
SCAH02,DD08-007
SCAH02,DD08-008
SCAH02,DD08-009
SCAH02,DD08-011
SCAH02,DD08-012
SCAH02,DD08-013
SCAH02,DD08-014
SCAH02,DD08-016
SCAH02,DD09-001
SCAH02,DD09-003
SCAH02,DD09-013
SCAH02,DD09-016
SCAH02,DD09-018
SCAH02,DD10-003
SCAH02,DD10-004
SCAH02,DD10-005
SCAH02,DD10-007
SCAH02,DD10-009
SCAH02,DD11-002
SCAH02,DD11-003
SCAH02,DD11-013
SCAH02,DD11-014
SCAH02,IN006189
SCAH02,ST007479
SCAH02,TI001606
SCAH05,DB10-074
SCAS01,DB09-048
SCAS01,DB10-119
SCAS02,DD04-012
SCAS02,DD05-016
SCAS02,DD06-012
SCAS02,DD08-014
SCAS02,DD09-016
SDEA01,DD06-013
SDEA01,DD10-008
SDEM01,DB03-145
SDEM01,DB06-010
SDEM01,DB06-131
SDEM01,DB09-129
SEAT03,DB03-101
SEAT03,DB04-070
SEAT03,DB08-105
SEAT04,DD07-003
SEAT04,DD08-005
SEAT04,DD10-009
SEKT03,DB10-031
SFOC01,DB03-198
SFOC01,DB05-002
SFOC01,DB05-210
SFOC01,DB07-002
SFOC01,DB07-193
SFOC01,DB08-209
SFOC01,DB10-002
SFOC01,DB10-167
SHAS01,DB04-125
SHAS01,DB05-224
SHAS01,DB06-149
SHAS03,DB04-043
SHAS03,DB05-165
SHAS03,DB07-116
SHAS03,DB10-028
SHAS03,DD04-004
SHAS04,DB08-025
SHAS04,DB08-196
SHAS04,DB09-163
SINI01,DB08-033
SINI01,DB12-078
SINI01,DD04-003
SINI01,DD04-015
SINI01,DD06-002
SINI01,DD06-012
SINI02,DB05-067
SINI02,DB09-110
SJAS01,DB06-185
SKAI01,DB03-118
SKAO01,DB03-050
SKAO01,DB04-155
SKAO01,DB07-059
SKAO01,DB09-020
SKAO01,DB11-055
SLEE01,DD11-013
SLEE03,DD09-017
SLEH01,DB08-064
SLEO01,DD05-011
SLUT01,DB05-010
SMAE01,DB02-123
SMAE02,DB08-068
SMAE02,DD04-002
SMAE03,DB05-064
SMAE03,DD08-005
SMAE03,DD08-009
SMAE03,DD08-014
SMAE03,DD08-016
SMAH01,DB05-032
SMAH01,DB12-061
SMAH01,DD08-005
SMAH01,DD08-010
SMAH01,DD09-010
SMAT02,DB03-194
SMAT02,DB06-102
SMAT02,DB07-151
SMAT02,DB08-144
SMAT02,DB09-147
SMAT02,DB10-124
SMIT01,DD05-004
SMIT01,DD05-014
SMIT01,DD06-012
SMOW01,DD07-009
SMTH01,DB04-023
SMTH01,DB04-181
SMTH01,DB05-189
SMTH01,DB06-069
SMTH01,DB09-093
SMTH01,DB11-118
SNTA01,DB03-018
SNTA01,DB06-001
SNTA01,DD08-015
SNTA01,DD09-018
SNTH01,DB05-038
SNTH01,DB08-070
SNTO01,DB11-074
SNUI01,DB08-186
SNUI02,DD03-017
SNUI02,DD04-014
SNUI02,DD06-002
SNUI02,DD07-002
SNUI02,DD08-001
SPIT01,DB08-103
SPIT01,DB11-007
SROO01,DD08-007
SROS02,DD04-013
SSEH01,DB05-012
SSEH01,DB05-102
SSEH01,DB09-072
SSEH01,DB12-060
SVII01,DB07-192
SVII01,DB09-058
SVII02,DD05-019
SVII03,DB09-121
SVII03,DD04-007
SVII03,DD04-009
SVII03,DD05-011
SVII03,DD08-007
SVII03,DD09-002
SVII03,DD10-001
SVII05,DD04-005
SVII05,DD09-015
SVII09,DB09-002
SVII09,DD04-006
SVII09,DD06-007
SVII12,DB07-176
SVII16,DD03-010
SVII16,DD10-010
SVII17,DB04-149
SVII17,DB07-169
SVII17,DD03-012
SVII17,DD04-011
SVII17,DD05-014
SVII17,DD05-019
SVII17,DD11-011
SVII18,DB03-128
SVIU01,DB03-114
SVIU01,DB08-190
SVIU01,DB09-097
SVIU01,DD05-231
SVIU02,DB11-125
SVIU04,DB08-157
SVIU04,DB11-153
SVIU05,DB06-004
SVIU05,DB08-015
SVIU05,DB09-014
SVIU05,DB10-020
SWET01,DB04-100
SWET01,DB11-060
SWET06,DD04-014
SWIE02,DB04-182
SWIE02,DB07-130
SWIE03,DB03-078
SWIE03,DB06-080
SWIE03,DB07-114
SWIE03,DB11-101
SYSE01,DB08-029
SYSE01,DD05-017
SYSE01,DD06-009
SYSE04,DB09-117
SYSE04,DD03-011
SYSE04,DD09-014
SYSE04,DD11-005
TACI01,DD06-004
TACI01,DD06-010
TACI01,DD09-001
TBOH03,DB06-014
TBOH03,DD07-003
TBOH04,DD05-005
TBOJ01,DB08-175
TBOS01,DB07-004
TCIY01,DD03-020
TCIY01,DD04-015
TCIY01,DD05-019
TCIY01,DD08-003
TCIY01,DD08-016
TCIY02,DB10-021
TDAE01,DB03-169
TDAE01,DD04-001
TDUT01,DB04-132
TESH01,DD03-011
TESH01,DD05-016
TESH01,DD06-010
TESH01,DD09-014
TESH01,DD10-008
TGAE01,DB08-159
TINR01,DD05-009
TINR01,DD10-006
TKAH01,DB08-062
TLOT01,DB04-186
TLOU01,DB06-100
TLOU01,DB09-124
TLOU01,DB10-156
TMAE02,DB12-085
TMAE02,DD08-009
TMAH01,DB04-071
TMAH03,DB04-159
TMAH03,DB07-001
TMAH03,DB11-095
TMAH03,DD07-009
TMAH04,DB03-137
TMAL01,DB05-187
TMAL01,DB11-026
TMAL02,DB05-043
TMAL02,DB05-178
TMAL02,DB06-137
TMAL02,DB08-072
TMAL02,DB09-113
TMAL03,DB05-063
TMAL03,DB06-046
TMAL03,DB09-105
TMAL04,DB10-025
TMAS01,DD03-008
TMAS03,DB09-118
TMOA02,DB04-170
TMOA02,DB08-032
TMOH01,DB07-028
TMOH01,DB09-102
TMOS01,DB04-103
TMOS01,DB09-107
TMOS01,DB12-065
TMOS03,DB07-117
TMOS03,DD05-014
TMUH01,DB03-122
TMUH01,DB05-058
TNAH01,DB05-055
TNAH01,DB07-048
TNAH01,DB09-031
TNAH01,DB11-035
TNAH04,DB07-048
TNAH04,DB10-059
TNAH08,DB04-035
TNAH08,DB11-035
TNAI02,DB04-133
TNAI02,DD09-005
TNES01,DB05-013
TNES02,DD07-012
TNES02,DD10-001
TNES02,DD11-001
TNOW01,DB11-135
TNOW01,DD05-014
TOPI02,DB05-203
TOPI02,DD03-011
TOPI02,DD04-015
TOPI02,DD07-004
TOPI02,DD09-015
TOPI02,DD10-010
TOPI03,DB07-196
TOPI06,DB07-157
TOPI06,DB08-174
TOPI10,DD04-010
TOPI10,DD05-005
TOPI12,DB05-026
TOPI12,DD05-003
TOPI12,DD07-007
TOPI13,DB05-202
TOPI13,DB06-105
TOPI13,DB09-162
TOPI13,DB12-084
TOPI14,DB05-028
TOPI14,DB08-014
TOPI15,DB03-053
TOPI15,DD06-002
TOPI21,DD05-002
TOPI21,DD05-014
TOPI21,DD11-010
TOPI25,DD08-007
TOPI25,DD09-011
TOPI32,DB03-188
TOPI32,DB11-075
TOPI33,DD09-017
TOPI33,DD11-006
TOPI34,DD09-006
TOPI46,DB06-050
TOPI46,DB07-189
TOPI46,DB09-174
TOPI46,DB10-159
TOPI48,DB10-023
TOPI48,DD04-003
TOPI53,DD04-014
TOPI53,DD05-006
TOPI53,DD05-010
TOPI53,DD07-006
TOPI53,DD11-005
TOPI54,DD04-015
TOPI54,DD11-004
TOPI58,DB06-164
TOPI58,DD03-011
TOPI58,DD04-009
TOPI58,DD05-012
TOPI58,DD10-005
TOPI59,DD03-016
TOPI59,DD05-003
TOPI59,DD05-005
TOPI59,DD09-016
TOPI59,DD10-010
TOPI62,DB03-192
TOPO01,DB05-074
TOPO01,DB10-049
TPAE01,DB03-146
TPAE01,DB07-179
TPAE02,DB03-140
TPAE03,DD09-003
TPAE04,DB09-042
TPAE04,DB11-178
TPAH01,DB05-143
TPAH01,DD03-016
TPAH01,DD05-005
TPAH01,DD06-001
TPOG01,DB05-199
TPOG01,DD07-003
TREI01,Jan-03
TRUH01,DB06-103
TRUH01,DD03-011
TRUH01,DD12-013
TRUT01,DB09-165
TWIB01,DB03-112
TWIB01,DB05-155
TWIB01,DB08-168
TWIB01,DB11-131
TWIB02,DB08-168
TZIH01,DB05-182
TZIH01,DB07-167
TZIH01,DD04-007
TZIU01,DB03-179
TZIU01,DB04-114
TZIU01,DB08-022
TZIU01,DB12-072
UBAE02,DB04-063
UBOM03,DD04-008
UBOR01,DD04-006
UBOR01,DD06-007
UBOR01,DD07-015
UBOR01,DD08-004
UBOR01,DD09-006
UBRW01,DB09-045
UEQI01,DD06-004
UEQI01,DD08-010
UEQI01,DD10-006
UEQI01,DD11-001
UEQI01,DD11-013
UFOR04,DB03-121
UGLC01,DD10-007
UHOS01,DB04-009
UHOS01,DB04-173
UHOS01,DB06-193
UHOS01,DB07-191
UHOS01,DB09-175
UIDT01,DD03-008
UIDT01,DD04-007
ULAD01,DB04-028
ULAD01,DB05-039
ULAD01,DB07-026
ULAD01,DB08-021
UMBL01,DB04-172
UMBL01,DB05-192
UMBL01,DB06-179
