CUSTOMER_NUMBER,DEPOSIT_REF
DLEW03,DD05-001
DMAI01,DB06-037
DMAI01,DB09-134
DMAI02,DB04-014
DMAI02,DB05-008
DMAI02,DB06-009
DMAI02,DB07-173
DMAI02,DB09-100
DMAI02,DB11-137
DMAZ01,DD02-002
DMCO01,DB04-057
DMCO01,DB05-029
DMCO01,DB07-115
DMCO01,DB10-032
DMCO01,DB10-065
DMCO01,DB11-057
DMEI01,DB09-060
DMEI01,DD05-001
DMEI07,DB03-082
DMEI07,DB04-085
DMIR01,DB06-005
DMIR01,DB09-007
DMOE01,DD03-017
DMOI01,DB04-123
DMOI01,DB06-166
DMOI02,DD03-019
DMOI02,DD04-005
DMOI02,DD04-012
DMOI03,DB07-172
DMOI04,DB07-182
DMOI04,DB08-176
DMUA01,DB04-139
DPAA02,DB03-189
DRAU01,DB03-170
DRAU01,DB04-144
DRAU01,DB05-175
DRAU01,DB06-104
DRAU01,DB07-153
DRAU01,DB08-179
DRAU01,DB09-161
DRAU01,DB11-003
DRAU01,DB11-171
DREE01,DB03-180
DSAI01,DD08-014
DSEI01,DB05-075
DSEI01,DB08-059
DSIN01,DB09-041
DVIA01,DB05-051
DVIA01,DB05-052
DVIA01,DB07-097
DVIA01,DB10-093
DVIA01,DB11-054
DWAE04,DB04-147
DWAE04,DB10-097
EACO01,DB04-064
EACO01,DB06-173
EACO01,DB09-123
EALX01,DB07-139
EAMR01,DB03-197
EAMR01,DB04-069
EAMR01,DB07-023
EAMR01,DD11-012
ECHT02,DB05-140
ECHT02,DB07-027
ECHT02,DB10-010
ECHT03,DB07-015
ECHT03,DD05-004
ECHT03,DD08-001
ECHT04,DB04-022
ECHT04,DB07-070
ECHT04,DB08-055
ECHT04,DB09-028
ECHT04,DB09-155
ECHT05,DB03-152
ECHT05,DB06-169
ECHT05,DB09-011
ECHT05,DB10-019
ECHT05,DB11-094
ECHT06,DB11-129
ECLA01,DD03-019
ECLA01,DD04-013
ECLA01,DD05-011
ECLA01,DD06-009
ECLA01,DD07-003
ECLA01,DD08-014
ECLA01,DD10-008
ECLA02,DD03-010
ECLA05,DB06-186
ECOT04,DB03-149
ECOT04,DB05-200
ECOT04,DB08-139
ECOT04,DB10-146
EEVR02,DB05-134
EEYB02,DD04-011
EEYC02,DB03-145
EEYC02,DB05-179
EEYC02,DB07-021
EEYC02,DB08-137
EEYC02,DB10-043
EEYC02,DB10-072
EEYD04,DD10-002
EEYD04,DD11-002
EEYE02,DB03-166
EEYE02,DB04-134
EEYE02,DB08-020
EEYL01,DD04-012
EEYL06,DB04-031
EEYP02,DB08-011
EEYP02,DB08-028
EEYP02,DB09-056
EEYP02,DB11-081
EEYS10,DB10-052
EEYS10,DD08-004
EEYS11,DD07-015
EEYS11,DD09-011
EEYT04,DD07-008
EEYT04,DD11-011
EEYT05,DD07-008
EEYT06,DD10-010
EEYT06,DD11-005
EFRE01,DD06-012
EFRE01,DD07-003
EGRE01,DB03-077
EGRE01,DB08-131
EGRW01,DD10-004
EIDA02,DB06-023
EIDA03,DB06-194
EIDA03,DB08-039
EIDA03,DB08-069
EIDA03,DB08-109
EIDA03,DB09-013
EKET01,DD10-008
EMER01,DB03-143
EMER01,DD09-018
EMER01,DD11-001
EMER01,DD11-012
EMYY01,DD11-013
ENIM01,DB03-116
ENIM01,DB04-074
ENIM01,DB05-070
ENIM01,DB06-110
ENIM01,DB07-118
ENIM01,DB09-008
ENIM01,DB11-099
EPER01,DB03-181
EPER01,DB05-206
EPER01,DB08-191
EPER04,DB04-168
EPER04,DB08-101
EPER04,DB11-182
EPER04,DD03-020
EPER04,DD11-001
EPHE01,DB05-109
EPHE01,DB06-057
EPHE01,DB07-013
EPHE01,DB11-149
EPHE01,DD08-014
EPHE01,DD09-005
EPRC01,DD10-005
EPRT02,DB03-178
EPRT02,DB09-176
ERED01,DB06-121
ERED01,DD05-016
ERED03,DB08-053
ERED03,DB10-037
EROT01,DB05-020
EROT01,DB05-173
EROT01,DB08-149
